1, 2
2, 4
1, 1.99
3, 6
1.5, 3
1.25, 2.5
1.1, 2.2
1.1, 2.3
3.1, 6.3
3.1, 6.18
1.1, 2.2
2.2,4.6
2.5, 5
2.5, 5.1
2.6, 5.24
3.1,6.62
4,8
5,10
4.5, 9.1
2.1, 4.1
2, 4.1
6, 12
7, 14
9, 18
5, 9.8
3, 5.99
10, 19.9
7.1, 14.3
2, 3.99
2.4, 4.85
8, 16
1, 2.4
1.5, 3.12
1,5, 3.1
1.25, 2.6
1.25, 2.4
1.1, 2.33
3.1, 6.34
3.1, 6.23
2.2,4.6
2.5, 5.2
2.5, 5.1
3.1,6.2
4,8.2
5,10.1
4.5, 8.8
3.5, 7.1
4, 7.9
1, 1.9
1, 2.1
6, 11.99
7, 13.94
9, 18.1
5, 9.83
2, 4.2
7, 13.91
2.4, 4.7
8.1, 16
6.1, 12
4.1, 8
5.1 , 10
3, 6.1
3, 5.9
7, 14
8, 16.1
7, 13.9
