1, -65.602
2, -59.266
3, -64.463
4, -75.292
5, -84.537
6, -85.653
7, -74.56
8, -50.765
9, -17.487
10, 19.226
11, 52.175
12, 74.994
13, 83.907
14, 78.774
15, 63.136
16, 43.242
17, 26.334
18, 18.659
19, 23.754
20, 41.474
21, 68.041
22, 97.085
23, 121.41
24, 134.97
25, 134.54
26, 120.63
27, 97.321
28, 71.158
29, 49.356
30, 37.814
31, 39.498
32, 53.627
33, 75.894
34, 99.657
35, 117.77
36, 124.57
37, 117.41
38, 97.435
39, 69.23
40, 39.594
41, 15.656
42, 2.9228
43, 3.7655
44, 16.772
45, 37.143
46, 58.014
47, 72.354
48, 74.907
49, 63.641
50, 40.315
51, 10
52, -20.315
53, -43.641
54, -54.907
55, -52.354
56, -38.014
57, -17.143
58, 3.2275
59, 16.234
60, 17.077
61, 4.344
62, -19.594
63, -49.23
64, -77.435
65, -97.413
66, -104.57
67, -97.773
68, -79.657
69, -55.894
70, -33.627
71, -19.498
72, -17.814
73, -29.356
74, -51.158
75, -77.321
76, -100.63
77, -114.54
78, -114.97
79, -101.41
80, -77.085
81, -48.041
82, -21.474
83, -3.7536
84, 1.341
85, -6.3336
86, -23.242
87, -43.136
88, -58.774
89, -63.907
90, -54.994
91, -32.175
92, 0.77409
93, 37.487
94, 70.765
95, 94.56
96, 105.65
97, 104.54
98, 95.292
99, 84.463
100, 79.266
